date,actual,year,month
1950-01-01,-1.5054626,1950,1
1950-02-01,2.3208313,1950,2
1950-03-01,4.497986,1950,3
1950-04-01,7.4065857,1950,4
1950-05-01,14.568207,1950,5
1950-06-01,17.88272,1950,6
1950-07-01,17.917328,1950,7
1950-08-01,18.673492,1950,8
1950-09-01,13.994537,1950,9
1950-10-01,8.523773,1950,10
1950-11-01,4.4569397,1950,11
1950-12-01,-1.4461975,1950,12
1951-01-01,0.49124146,1951,1
1951-02-01,1.4220886,1951,2
1951-03-01,1.8855286,1951,3
1951-04-01,8.018982,1951,4
1951-05-01,11.549347,1951,5
1951-06-01,16.453156,1951,6
1951-07-01,17.774933,1951,7
1951-08-01,18.690552,1951,8
1951-09-01,15.034607,1951,9
1951-10-01,7.7705383,1951,10
1951-11-01,6.8423767,1951,11
1951-12-01,3.715271,1951,12
1952-01-01,0.8659363,1952,1
1952-02-01,1.0139465,1952,2
1952-03-01,0.77059937,1952,3
1952-04-01,10.6684265,1952,4
1952-05-01,12.246094,1952,5
1952-06-01,15.129181,1952,6
1952-07-01,17.660583,1952,7
1952-08-01,18.118256,1952,8
1952-09-01,11.068939,1952,9
1952-10-01,7.250458,1952,10
1952-11-01,1.6701965,1952,11
1952-12-01,-0.9443054,1952,12
1953-01-01,0.22897339,1953,1
1953-02-01,0.20315552,1953,2
1953-03-01,4.932953,1953,3
1953-04-01,9.499115,1953,4
1953-05-01,14.0191345,1953,5
1953-06-01,17.897675,1953,6
1953-07-01,18.74234,1953,7
1953-08-01,17.352386,1953,8
1953-09-01,13.671082,1953,9
1953-10-01,11.031769,1953,10
1953-11-01,5.245575,1953,11
1953-12-01,1.693573,1953,12
1954-01-01,-3.5238342,1954,1
1954-02-01,-6.1380005,1954,2
1954-03-01,3.1481628,1954,3
1954-04-01,5.776703,1954,4
1954-05-01,13.2901,1954,5
1954-06-01,17.488495,1954,6
1954-07-01,15.270966,1954,7
1954-08-01,16.720978,1954,8
1954-09-01,14.144531,1954,9
1954-10-01,10.303009,1954,10
1954-11-01,3.297577,1954,11
1954-12-01,3.580597,1954,12
1955-01-01,-2.0923157,1955,1
1955-02-01,-2.967926,1955,2
1955-03-01,-0.37582397,1955,3
1955-04-01,6.510742,1955,4
1955-05-01,10.856354,1955,5
1955-06-01,14.791626,1955,6
1955-07-01,18.374146,1955,7
1955-08-01,18.048828,1955,8
1955-09-01,14.084717,1955,9
1955-10-01,8.638855,1955,10
1955-11-01,4.375946,1955,11
1955-12-01,2.4197693,1955,12
1956-01-01,0.28079224,1956,1
1956-02-01,-9.914276,1956,2
1956-03-01,2.4726257,1956,3
1956-04-01,4.5638733,1956,4
1956-05-01,13.063446,1956,5
1956-06-01,14.620728,1956,6
1956-07-01,17.893158,1956,7
1956-08-01,14.665344,1956,8
1956-09-01,13.756714,1956,9
1956-10-01,8.795929,1956,10
1956-11-01,1.9747314,1956,11
1956-12-01,1.9671326,1956,12
1957-01-01,0.7736511,1957,1
1957-02-01,3.577057,1957,2
1957-03-01,5.120453,1957,3
1957-04-01,7.3696594,1957,4
1957-05-01,10.687103,1957,5
1957-06-01,17.664703,1957,6
1957-07-01,18.65622,1957,7
1957-08-01,15.947845,1957,8
1957-09-01,11.654022,1957,9
1957-10-01,9.690399,1957,10
1957-11-01,5.052765,1957,11
1957-12-01,0.324646,1957,12
1958-01-01,-0.33517456,1958,1
1958-02-01,1.346405,1958,2
1958-03-01,0.11129761,1958,3
1958-04-01,5.245758,1958,4
1958-05-01,13.65683,1958,5
1958-06-01,15.106293,1958,6
1958-07-01,17.978241,1958,7
1958-08-01,17.076752,1958,8
1958-09-01,14.479279,1958,9
1958-10-01,10.126984,1958,10
1958-11-01,4.210846,1958,11
1958-12-01,2.315918,1958,12
1959-01-01,0.22817993,1959,1
1959-02-01,-0.035614014,1959,2
1959-03-01,6.1513977,1959,3
1959-04-01,9.641418,1959,4
1959-05-01,13.345856,1959,5
1959-06-01,17.23526,1959,6
1959-07-01,20.024292,1959,7
1959-08-01,18.484772,1959,8
1959-09-01,13.262421,1959,9
1959-10-01,8.478912,1959,10
1959-11-01,3.085205,1959,11
1959-12-01,1.3003845,1959,12
1960-01-01,0.31878662,1960,1
1960-02-01,-0.7748718,1960,2
1960-03-01,3.5072327,1960,3
1960-04-01,6.8678894,1960,4
1960-05-01,13.464172,1960,5
1960-06-01,17.165588,1960,6
1960-07-01,16.758636,1960,7
1960-08-01,16.897705,1960,8
1960-09-01,13.297821,1960,9
1960-10-01,9.341736,1960,10
1960-11-01,6.0654907,1960,11
1960-12-01,2.1822815,1960,12
1961-01-01,-0.909729,1961,1
1961-02-01,4.5308533,1961,2
1961-03-01,6.8529663,1961,3
1961-04-01,10.943329,1961,4
1961-05-01,11.086578,1961,5
1961-06-01,17.409882,1961,6
1961-07-01,16.021667,1961,7
1961-08-01,16.312775,1961,8
1961-09-01,16.117798,1961,9
1961-10-01,11.559418,1961,10
1961-11-01,4.3329163,1961,11
1961-12-01,-1.3694763,1961,12
1962-01-01,2.4615173,1962,1
1962-02-01,0.90560913,1962,2
1962-03-01,1.0065613,1962,3
1962-04-01,9.363312,1962,4
1962-05-01,10.628632,1962,5
1962-06-01,14.735565,1962,6
1962-07-01,15.437775,1962,7
1962-08-01,16.034363,1962,8
1962-09-01,12.751282,1962,9
1962-10-01,9.700165,1962,10
1962-11-01,3.9530334,1962,11
1962-12-01,-2.7368164,1962,12
1963-01-01,-7.8371887,1963,1
1963-02-01,-6.1987305,1963,2
1963-03-01,1.9917908,1963,3
1963-04-01,8.227234,1963,4
1963-05-01,13.396515,1963,5
1963-06-01,17.263458,1963,6
1963-07-01,19.207245,1963,7
1963-08-01,17.554352,1963,8
1963-09-01,14.69751,1963,9
1963-10-01,9.229004,1963,10
1963-11-01,7.866974,1963,11
1963-12-01,-2.7086792,1963,12
1964-01-01,-1.9740295,1964,1
1964-02-01,-0.3360901,1964,2
1964-03-01,-0.28414917,1964,3
1964-04-01,8.950073,1964,4
1964-05-01,13.877106,1964,5
1964-06-01,18.194916,1964,6
1964-07-01,18.704224,1964,7
1964-08-01,16.394226,1964,8
1964-09-01,14.265472,1964,9
1964-10-01,7.867218,1964,10
1964-11-01,5.355652,1964,11
1964-12-01,1.1873474,1964,12
1965-01-01,1.5404663,1965,1
1965-02-01,-1.2812805,1965,2
1965-03-01,1.8004456,1965,3
1965-04-01,7.5548706,1965,4
1965-05-01,11.451477,1965,5
1965-06-01,16.501251,1965,6
1965-07-01,15.806091,1965,7
1965-08-01,15.939789,1965,8
1965-09-01,14.368256,1965,9
1965-10-01,8.969421,1965,10
1965-11-01,0.6632385,1965,11
1965-12-01,2.5059204,1965,12
1966-01-01,-2.6843262,1966,1
1966-02-01,0.59213257,1966,2
1966-03-01,3.8973694,1966,3
1966-04-01,8.532166,1966,4
1966-05-01,13.894562,1966,5
1966-06-01,18.156097,1966,6
1966-07-01,17.13504,1966,7
1966-08-01,16.98175,1966,8
1966-09-01,13.425964,1966,9
1966-10-01,11.751862,1966,10
1966-11-01,2.787323,1966,11
1966-12-01,2.195282,1966,12
1967-01-01,0.65838623,1967,1
1967-02-01,3.2484436,1967,2
1967-03-01,6.5128174,1967,3
1967-04-01,7.0844727,1967,4
1967-05-01,14.094757,1967,5
1967-06-01,15.860931,1967,6
1967-07-01,19.381134,1967,7
1967-08-01,17.357483,1967,8
1967-09-01,15.300812,1967,9
1967-10-01,11.9339905,1967,10
1967-11-01,4.6391296,1967,11
1967-12-01,1.4973755,1967,12
1968-01-01,-0.983551,1968,1
1968-02-01,0.6609192,1968,2
1968-03-01,5.291046,1968,3
1968-04-01,9.982422,1968,4
1968-05-01,11.426727,1968,5
1968-06-01,17.63733,1968,6
1968-07-01,16.985504,1968,7
1968-08-01,18.038605,1968,8
1968-09-01,14.362274,1968,9
1968-10-01,10.664154,1968,10
1968-11-01,4.1207275,1968,11
1968-12-01,-2.206482,1968,12
1969-01-01,-1.4772644,1969,1
1969-02-01,-2.5696716,1969,2
1969-03-01,-0.95132446,1969,3
1969-04-01,7.2766113,1969,4
1969-05-01,13.315887,1969,5
1969-06-01,16.248749,1969,6
1969-07-01,19.173615,1969,7
1969-08-01,17.430847,1969,8
1969-09-01,14.571503,1969,9
1969-10-01,10.477997,1969,10
1969-11-01,5.9338684,1969,11
1969-12-01,-6.245392,1969,12
1970-01-01,-4.9324646,1970,1
1970-02-01,-2.52005,1970,2
1970-03-01,1.0144958,1970,3
1970-04-01,5.807007,1970,4
1970-05-01,12.142426,1970,5
1970-06-01,18.107086,1970,6
1970-07-01,17.135681,1970,7
1970-08-01,18.215912,1970,8
1970-09-01,13.412537,1970,9
1970-10-01,9.556915,1970,10
1970-11-01,5.507904,1970,11
1970-12-01,1.7530212,1970,12
1971-01-01,-0.88974,1971,1
1971-02-01,2.1835022,1971,2
1971-03-01,1.5722351,1971,3
1971-04-01,7.9937134,1971,4
1971-05-01,14.785889,1971,5
1971-06-01,14.790649,1971,6
1971-07-01,18.801666,1971,7
1971-08-01,19.283905,1971,8
1971-09-01,12.560455,1971,9
1971-10-01,9.788879,1971,10
1971-11-01,4.240753,1971,11
1971-12-01,4.670746,1971,12
1972-01-01,-3.7174683,1972,1
1972-02-01,1.171936,1972,2
1972-03-01,5.4389343,1972,3
1972-04-01,7.86792,1972,4
1972-05-01,12.133148,1972,5
1972-06-01,15.903961,1972,6
1972-07-01,19.258759,1972,7
1972-08-01,16.866974,1972,8
1972-09-01,11.775665,1972,9
1972-10-01,7.3516235,1972,10
1972-11-01,5.217987,1972,11
1972-12-01,1.3291626,1972,12
1973-01-01,0.0317688,1973,1
1973-02-01,2.5616455,1973,2
1973-03-01,5.144928,1973,3
1973-04-01,5.832855,1973,4
1973-05-01,12.929657,1973,5
1973-06-01,16.822601,1973,6
1973-07-01,18.492401,1973,7
1973-08-01,18.243652,1973,8
1973-09-01,14.333221,1973,9
1973-10-01,7.733246,1973,10
1973-11-01,3.5953674,1973,11
1973-12-01,0.82321167,1973,12
1974-01-01,3.1875916,1974,1
1974-02-01,3.5908508,1974,2
1974-03-01,5.390167,1974,3
1974-04-01,8.231354,1974,4
1974-05-01,11.520996,1974,5
1974-06-01,14.627838,1974,6
1974-07-01,15.916901,1974,7
1974-08-01,18.041504,1974,8
1974-09-01,14.139343,1974,9
1974-10-01,6.91687,1974,10
1974-11-01,5.406708,1974,11
1974-12-01,5.3962097,1974,12
1975-01-01,5.2466125,1975,1
1975-02-01,1.1950378,1975,2
1975-03-01,4.0211487,1975,3
1975-04-01,6.9341736,1975,4
1975-05-01,12.6770935,1975,5
1975-06-01,15.683289,1975,6
1975-07-01,19.399567,1975,7
1975-08-01,20.034119,1975,8
1975-09-01,16.374115,1975,9
1975-10-01,8.135468,1975,10
1975-11-01,2.613861,1975,11
1975-12-01,2.5501404,1975,12
1976-01-01,0.7286682,1976,1
1976-02-01,-0.27975464,1976,2
1976-03-01,1.0407715,1976,3
1976-04-01,7.162079,1976,4
1976-05-01,12.976776,1976,5
1976-06-01,17.195831,1976,6
1976-07-01,19.66275,1976,7
1976-08-01,16.94638,1976,8
1976-09-01,13.560944,1976,9
1976-10-01,9.332062,1976,10
1976-11-01,5.3648376,1976,11
1976-12-01,-0.24255371,1976,12
1977-01-01,0.35708618,1977,1
1977-02-01,2.3606873,1977,2
1977-03-01,6.037384,1977,3
1977-04-01,5.940979,1977,4
1977-05-01,12.3974,1977,5
1977-06-01,16.897522,1977,6
1977-07-01,16.68216,1977,7
1977-08-01,16.676178,1977,8
1977-09-01,12.235382,1977,9
1977-10-01,10.248627,1977,10
1977-11-01,5.9653015,1977,11
1977-12-01,2.7142334,1977,12
1978-01-01,1.2771912,1978,1
1978-02-01,-1.5619202,1978,2
1978-03-01,5.147156,1978,3
1978-04-01,6.8239746,1978,4
1978-05-01,12.806305,1978,5
1978-06-01,15.972076,1978,6
1978-07-01,16.422241,1978,7
1978-08-01,16.399872,1978,8
1978-09-01,12.270935,1978,9
1978-10-01,10.099213,1978,10
1978-11-01,5.52948,1978,11
1978-12-01,-0.7582092,1978,12
1979-01-01,-4.4601746,1979,1
1979-02-01,-3.518341,1979,2
1979-03-01,3.0937805,1979,3
1979-04-01,7.0294495,1979,4
1979-05-01,13.642426,1979,5
1979-06-01,18.022614,1979,6
1979-07-01,15.236176,1979,7
1979-08-01,16.96341,1979,8
1979-09-01,13.915344,1979,9
1979-10-01,7.6147766,1979,10
1979-11-01,3.9757996,1979,11
1979-12-01,3.7668762,1979,12
1980-01-01,-4.263977,1980,1
1980-02-01,0.5780945,1980,2
1980-03-01,1.8306885,1980,3
1980-04-01,6.453766,1980,4
1980-05-01,10.827911,1980,5
1980-06-01,15.778046,1980,6
1980-07-01,16.2529,1980,7
1980-08-01,16.83023,1980,8
1980-09-01,14.065643,1980,9
1980-10-01,8.854401,1980,10
1980-11-01,3.7742615,1980,11
1980-12-01,1.6264343,1980,12
1981-01-01,-0.815979,1981,1
1981-02-01,0.78292847,1981,2
1981-03-01,6.4675903,1981,3
1981-04-01,7.648834,1981,4
1981-05-01,14.574493,1981,5
1981-06-01,16.413727,1981,6
1981-07-01,17.407593,1981,7
1981-08-01,16.955841,1981,8
1981-09-01,14.575958,1981,9
1981-10-01,8.447418,1981,10
1981-11-01,5.047333,1981,11
1981-12-01,-2.8762512,1981,12
1982-01-01,-2.743225,1982,1
1982-02-01,-0.3580017,1982,2
1982-03-01,4.9823303,1982,3
1982-04-01,7.007965,1982,4
1982-05-01,13.118195,1982,5
1982-06-01,16.720856,1982,6
1982-07-01,19.433899,1982,7
1982-08-01,19.09784,1982,8
1982-09-01,16.515656,1982,9
1982-10-01,10.34668,1982,10
1982-11-01,6.2503967,1982,11
1982-12-01,2.245575,1982,12
1983-01-01,4.795624,1983,1
1983-02-01,-0.9772644,1983,2
1983-03-01,5.264923,1983,3
1983-04-01,8.988373,1983,4
1983-05-01,12.979523,1983,5
1983-06-01,16.624023,1983,6
1983-07-01,20.392975,1983,7
1983-08-01,18.754456,1983,8
1983-09-01,14.46521,1983,9
1983-10-01,9.634125,1983,10
1983-11-01,4.1228027,1983,11
1983-12-01,0.6108093,1983,12
1984-01-01,1.5975037,1984,1
1984-02-01,0.19662476,1984,2
1984-03-01,2.255005,1984,3
1984-04-01,7.767853,1984,4
1984-05-01,12.767303,1984,5
1984-06-01,14.191101,1984,6
1984-07-01,16.127167,1984,7
1984-08-01,18.31662,1984,8
1984-09-01,12.922882,1984,9
1984-10-01,10.937408,1984,10
1984-11-01,3.996521,1984,11
1984-12-01,0.24487305,1984,12
1985-01-01,-5.674225,1985,1
1985-02-01,-3.1303406,1985,2
1985-03-01,3.1532898,1985,3
1985-04-01,8.003387,1985,4
1985-05-01,14.538635,1985,5
1985-06-01,14.47348,1985,6
1985-07-01,17.850647,1985,7
1985-08-01,17.407654,1985,8
1985-09-01,13.580658,1985,9
1985-10-01,9.518341,1985,10
1985-11-01,1.4741516,1985,11
1985-12-01,3.9389954,1985,12
1986-01-01,0.06304932,1986,1
1986-02-01,-6.874298,1986,2
1986-03-01,3.0249634,1986,3
1986-04-01,6.5663147,1986,4
1986-05-01,14.766235,1986,5
1986-06-01,16.046906,1986,6
1986-07-01,18.057648,1986,7
1986-08-01,16.866302,1986,8
1986-09-01,11.564667,1986,9
1986-10-01,9.615326,1986,10
1986-11-01,6.610443,1986,11
1986-12-01,2.1499329,1986,12
1987-01-01,-7.358795,1987,1
1987-02-01,-0.7919922,1987,2
1987-03-01,-0.12384033,1987,3
1987-04-01,8.951782,1987,4
1987-05-01,10.427155,1987,5
1987-06-01,14.597351,1987,6
1987-07-01,17.3143,1987,7
1987-08-01,15.753387,1987,8
1987-09-01,13.9670105,1987,9
