date,actual,year,month
1950-01-01,19.644928,1950,1
1950-02-01,17.885284,1950,2
1950-03-01,22.49408,1950,3
1950-04-01,24.724945,1950,4
1950-05-01,27.66391,1950,5
1950-06-01,28.552643,1950,6
1950-07-01,29.083344,1950,7
1950-08-01,27.843414,1950,8
1950-09-01,26.719147,1950,9
1950-10-01,24.594086,1950,10
1950-11-01,21.611237,1950,11
1950-12-01,16.680756,1950,12
1951-01-01,15.737335,1951,1
1951-02-01,19.170135,1951,2
1951-03-01,20.233185,1951,3
1951-04-01,25.704529,1951,4
1951-05-01,27.1763,1951,5
1951-06-01,27.691437,1951,6
1951-07-01,29.046417,1951,7
1951-08-01,27.881958,1951,8
1951-09-01,26.944763,1951,9
1951-10-01,24.612335,1951,10
1951-11-01,21.481049,1951,11
1951-12-01,18.861755,1951,12
1952-01-01,18.647186,1952,1
1952-02-01,19.50418,1952,2
1952-03-01,23.54013,1952,3
1952-04-01,25.990692,1952,4
1952-05-01,28.605469,1952,5
1952-06-01,28.79715,1952,6
1952-07-01,29.269958,1952,7
1952-08-01,27.294037,1952,8
1952-09-01,26.389252,1952,9
1952-10-01,24.543427,1952,10
1952-11-01,22.781525,1952,11
1952-12-01,15.989288,1952,12
1953-01-01,17.055145,1953,1
1953-02-01,17.947296,1953,2
1953-03-01,21.958344,1953,3
1953-04-01,22.743256,1953,4
1953-05-01,27.589447,1953,5
1953-06-01,28.8508,1953,6
1953-07-01,29.96695,1953,7
1953-08-01,28.756683,1953,8
1953-09-01,26.98944,1953,9
1953-10-01,26.178253,1953,10
1953-11-01,21.577606,1953,11
1953-12-01,17.97287,1953,12
1954-01-01,20.112885,1954,1
1954-02-01,18.920593,1954,2
1954-03-01,18.073944,1954,3
1954-04-01,25.364594,1954,4
1954-05-01,28.174866,1954,5
1954-06-01,30.226776,1954,6
1954-07-01,31.487762,1954,7
1954-08-01,28.449493,1954,8
1954-09-01,26.865234,1954,9
1954-10-01,24.248322,1954,10
1954-11-01,22.494843,1954,11
1954-12-01,16.584503,1954,12
1955-01-01,14.79245,1955,1
1955-02-01,19.727386,1955,2
1955-03-01,22.321442,1955,3
1955-04-01,24.333008,1955,4
1955-05-01,28.094635,1955,5
1955-06-01,28.801392,1955,6
