date,actual,year,month
1950-01-01,20.928131,1950,1
1950-02-01,21.3013,1950,2
1950-03-01,23.636658,1950,3
1950-04-01,29.049164,1950,4
1950-05-01,30.277191,1950,5
1950-06-01,29.554596,1950,6
1950-07-01,27.261078,1950,7
1950-08-01,27.04068,1950,8
1950-09-01,27.353912,1950,9
1950-10-01,25.353851,1950,10
1950-11-01,23.13272,1950,11
1950-12-01,20.128021,1950,12
1951-01-01,18.583038,1951,1
1951-02-01,21.269745,1951,2
1951-03-01,25.43631,1951,3
1951-04-01,27.88031,1951,4
1951-05-01,29.322784,1951,5
1951-06-01,28.263702,1951,6
1951-07-01,27.731964,1951,7
1951-08-01,27.899536,1951,8
1951-09-01,27.841248,1951,9
1951-10-01,26.547882,1951,10
1951-11-01,22.93222,1951,11
1951-12-01,19.863708,1951,12
1952-01-01,20.076874,1952,1
1952-02-01,23.269806,1952,2
1952-03-01,23.63974,1952,3
1952-04-01,27.266083,1952,4
1952-05-01,28.058594,1952,5
1952-06-01,29.271759,1952,6
1952-07-01,27.805115,1952,7
1952-08-01,27.659271,1952,8
1952-09-01,27.00058,1952,9
1952-10-01,25.535614,1952,10
1952-11-01,22.029572,1952,11
1952-12-01,19.16507,1952,12
1953-01-01,17.322723,1953,1
1953-02-01,20.777374,1953,2
1953-03-01,25.347015,1953,3
1953-04-01,26.407318,1953,4
1953-05-01,27.899994,1953,5
1953-06-01,29.05783,1953,6
1953-07-01,27.791168,1953,7
1953-08-01,27.852386,1953,8
1953-09-01,26.999207,1953,9
1953-10-01,25.758331,1953,10
1953-11-01,21.394012,1953,11
1953-12-01,21.174042,1953,12
1954-01-01,19.200775,1954,1
1954-02-01,25.180359,1954,2
1954-03-01,28.068085,1954,3
1954-04-01,31.815765,1954,4
1954-05-01,30.723694,1954,5
1954-06-01,28.912323,1954,6
1954-07-01,28.540497,1954,7
1954-08-01,28.345978,1954,8
1954-09-01,27.576172,1954,9
1954-10-01,25.431915,1954,10
1954-11-01,21.23117,1954,11
1954-12-01,19.783722,1954,12
1955-01-01,19.753387,1955,1
1955-02-01,23.233246,1955,2
1955-03-01,29.073395,1955,3
1955-04-01,30.254883,1955,4
1955-05-01,31.475494,1955,5
1955-06-01,29.81311,1955,6
1955-07-01,28.20813,1955,7
1955-08-01,27.664062,1955,8
1955-09-01,27.604248,1955,9
1955-10-01,26.293152,1955,10
1955-11-01,22.092743,1955,11
1955-12-01,19.0018,1955,12
1956-01-01,20.58548,1956,1
1956-02-01,21.351349,1956,2
1956-03-01,28.480438,1956,3
1956-04-01,31.452545,1956,4
1956-05-01,30.383759,1956,5
1956-06-01,28.036743,1956,6
1956-07-01,27.633392,1956,7
1956-08-01,27.7005,1956,8
1956-09-01,27.47937,1956,9
