date,actual,year,month
1950-01-01,2.0550842,1950,1
1950-02-01,6.64505,1950,2
1950-03-01,7.390564,1950,3
1950-04-01,8.578461,1950,4
1950-05-01,14.378754,1950,5
1950-06-01,19.001862,1950,6
1950-07-01,19.536469,1950,7
1950-08-01,18.316101,1950,8
1950-09-01,14.4496155,1950,9
1950-10-01,10.27182,1950,10
1950-11-01,7.101471,1950,11
1950-12-01,-0.14736938,1950,12
1951-01-01,4.920929,1951,1
1951-02-01,4.131073,1951,2
1951-03-01,5.500763,1951,3
1951-04-01,8.393982,1951,4
1951-05-01,11.893097,1951,5
1951-06-01,15.716827,1951,6
1951-07-01,18.218292,1951,7
1951-08-01,16.612427,1951,8
1951-09-01,15.934998,1951,9
1951-10-01,9.795929,1951,10
1951-11-01,8.740814,1951,11
1951-12-01,4.057068,1951,12
1952-01-01,2.783905,1952,1
1952-02-01,2.5471497,1952,2
1952-03-01,7.856537,1952,3
1952-04-01,11.461395,1952,4
1952-05-01,14.998047,1952,5
1952-06-01,17.492462,1952,6
1952-07-01,19.918396,1952,7
1952-08-01,18.430756,1952,8
1952-09-01,11.943939,1952,9
1952-10-01,10.04538,1952,10
1952-11-01,4.5744934,1952,11
1952-12-01,2.8721008,1952,12
1953-01-01,-0.14212036,1953,1
1953-02-01,3.0957336,1953,2
1953-03-01,7.2825623,1953,3
1953-04-01,10.215912,1953,4
1953-05-01,15.024994,1953,5
1953-06-01,15.755096,1953,6
1953-07-01,17.494293,1953,7
1953-08-01,18.647308,1953,8
1953-09-01,15.729675,1953,9
1953-10-01,11.715363,1953,10
1953-11-01,5.714325,1953,11
1953-12-01,6.6369324,1953,12
1954-01-01,1.0386658,1954,1
1954-02-01,1.3463745,1954,2
1954-03-01,7.4860535,1954,3
1954-04-01,8.46225,1954,4
1954-05-01,12.899475,1954,5
1954-06-01,15.822479,1954,6
1954-07-01,16.128387,1954,7
1954-08-01,16.601837,1954,8
1954-09-01,14.560547,1954,9
1954-10-01,12.316681,1954,10
1954-11-01,7.531952,1954,11
1954-12-01,6.316925,1954,12
1955-01-01,3.4389343,1955,1
1955-02-01,3.1004333,1955,2
1955-03-01,4.061676,1955,3
1955-04-01,10.000977,1955,4
1955-05-01,12.162994,1955,5
1955-06-01,16.59436,1955,6
1955-07-01,19.194458,1955,7
1955-08-01,19.019531,1955,8
1955-09-01,15.358154,1955,9
1955-10-01,9.607605,1955,10
1955-11-01,6.4482117,1955,11
1955-12-01,6.054535,1955,12
1956-01-01,3.9468079,1956,1
1956-02-01,-4.3244324,1956,2
1956-03-01,6.679657,1956,3
1956-04-01,7.8041077,1956,4
1956-05-01,14.21579,1956,5
1956-06-01,13.866821,1956,6
1956-07-01,17.715424,1956,7
1956-08-01,15.723938,1956,8
1956-09-01,16.594604,1956,9
1956-10-01,10.329132,1956,10
1956-11-01,5.058716,1956,11
1956-12-01,6.238617,1956,12
1957-01-01,3.2599792,1957,1
1957-02-01,7.3700256,1957,2
1957-03-01,10.069672,1957,3
1957-04-01,9.963409,1957,4
1957-05-01,11.634369,1957,5
1957-06-01,17.555328,1957,6
1957-07-01,18.892548,1957,7
1957-08-01,17.543549,1957,8
1957-09-01,15.003632,1957,9
1957-10-01,11.393524,1957,10
1957-11-01,6.7773743,1957,11
1957-12-01,3.3187866,1957,12
1958-01-01,3.549591,1958,1
1958-02-01,6.139374,1958,2
1958-03-01,4.4530945,1958,3
1958-04-01,7.982086,1958,4
1958-05-01,14.024017,1958,5
1958-06-01,15.524261,1958,6
1958-07-01,17.945038,1958,7
1958-08-01,18.135345,1958,8
1958-09-01,16.838654,1958,9
1958-10-01,11.429718,1958,10
1958-11-01,6.322174,1958,11
1958-12-01,5.3686523,1958,12
1959-01-01,2.777008,1959,1
1959-02-01,3.2065735,1959,2
1959-03-01,8.430695,1959,3
1959-04-01,10.56134,1959,4
1959-05-01,14.589996,1959,5
1959-06-01,17.327057,1959,6
1959-07-01,20.746948,1959,7
1959-08-01,18.779694,1959,8
1959-09-01,17.446014,1959,9
1959-10-01,12.098053,1959,10
1959-11-01,7.286377,1959,11
1959-12-01,6.1402283,1959,12
1960-01-01,3.6176147,1960,1
1960-02-01,4.39505,1960,2
1960-03-01,8.077545,1960,3
1960-04-01,9.920624,1960,4
1960-05-01,14.636047,1960,5
1960-06-01,17.353088,1960,6
1960-07-01,16.44809,1960,7
1960-08-01,17.149658,1960,8
1960-09-01,14.321259,1960,9
1960-10-01,11.122986,1960,10
1960-11-01,8.50885,1960,11
1960-12-01,3.0104065,1960,12
1961-01-01,3.3500366,1961,1
1961-02-01,7.8492126,1961,2
1961-03-01,8.409607,1961,3
1961-04-01,12.314423,1961,4
1961-05-01,12.715485,1961,5
1961-06-01,16.77121,1961,6
1961-07-01,17.730652,1961,7
1961-08-01,18.213165,1961,8
1961-09-01,18.701782,1961,9
1961-10-01,12.356293,1961,10
1961-11-01,6.205963,1961,11
1961-12-01,3.9195862,1961,12
1962-01-01,4.8990173,1962,1
1962-02-01,3.794281,1962,2
1962-03-01,3.360077,1962,3
1962-04-01,9.13089,1962,4
1962-05-01,11.503632,1962,5
1962-06-01,16.415253,1962,6
1962-07-01,17.19168,1962,7
1962-08-01,17.856628,1962,8
1962-09-01,15.046204,1962,9
1962-10-01,11.512665,1962,10
1962-11-01,5.3729553,1962,11
1962-12-01,0.9057617,1962,12
1963-01-01,-2.028595,1963,1
1963-02-01,-0.3569336,1963,2
1963-03-01,6.888275,1963,3
1963-04-01,9.7838745,1963,4
1963-05-01,12.132843,1963,5
1963-06-01,16.269318,1963,6
1963-07-01,18.414276,1963,7
1963-08-01,16.38443,1963,8
1963-09-01,15.22876,1963,9
1963-10-01,11.172363,1963,10
1963-11-01,9.534943,1963,11
1963-12-01,0.3694458,1963,12
1964-01-01,0.22714233,1964,1
1964-02-01,5.115082,1964,2
1964-03-01,5.1494446,1964,3
1964-04-01,9.6571045,1964,4
1964-05-01,15.351715,1964,5
1964-06-01,16.569916,1964,6
1964-07-01,19.362427,1964,7
1964-08-01,18.388367,1964,8
1964-09-01,16.644379,1964,9
1964-10-01,9.621124,1964,10
1964-11-01,7.4318237,1964,11
1964-12-01,3.210785,1964,12
1965-01-01,3.6557007,1965,1
1965-02-01,1.617157,1965,2
1965-03-01,7.0348206,1965,3
1965-04-01,9.205261,1965,4
1965-05-01,13.232727,1965,5
1965-06-01,16.436798,1965,6
1965-07-01,16.276794,1965,7
1965-08-01,16.986664,1965,8
1965-09-01,13.489349,1965,9
1965-10-01,11.203796,1965,10
1965-11-01,5.762848,1965,11
1965-12-01,6.10553,1965,12
1966-01-01,1.7609863,1966,1
1966-02-01,8.426117,1966,2
1966-03-01,6.237213,1966,3
1966-04-01,10.8836975,1966,4
1966-05-01,13.226593,1966,5
1966-06-01,17.710785,1966,6
1966-07-01,16.758087,1966,7
1966-08-01,17.001282,1966,8
1966-09-01,15.99823,1966,9
1966-10-01,12.261627,1966,10
1966-11-01,5.03537,1966,11
1966-12-01,5.9218445,1966,12
1967-01-01,3.49823,1967,1
1967-02-01,5.742584,1967,2
1967-03-01,7.3409424,1967,3
1967-04-01,8.500488,1967,4
1967-05-01,12.448273,1967,5
1967-06-01,15.419525,1967,6
1967-07-01,19.54715,1967,7
1967-08-01,17.302795,1967,8
1967-09-01,14.91214,1967,9
1967-10-01,12.676178,1967,10
1967-11-01,5.7934265,1967,11
1967-12-01,2.9231567,1967,12
1968-01-01,3.7234802,1968,1
1968-02-01,3.4499817,1968,2
1968-03-01,6.960968,1968,3
1968-04-01,10.001953,1968,4
1968-05-01,11.264618,1968,5
1968-06-01,15.824829,1968,6
1968-07-01,17.190582,1968,7
1968-08-01,17.013214,1968,8
1968-09-01,14.856415,1968,9
1968-10-01,12.910248,1968,10
1968-11-01,5.456665,1968,11
1968-12-01,1.5025024,1968,12
1969-01-01,5.141876,1969,1
1969-02-01,2.0533752,1969,2
1969-03-01,6.322113,1969,3
1969-04-01,9.442627,1969,4
1969-05-01,13.372528,1969,5
1969-06-01,15.350311,1969,6
1969-07-01,19.046661,1969,7
1969-08-01,17.380066,1969,8
1969-09-01,15.624237,1969,9
1969-10-01,12.245575,1969,10
1969-11-01,6.910431,1969,11
1969-12-01,0.4694519,1969,12
1970-01-01,4.139801,1970,1
1970-02-01,4.046356,1970,2
1970-03-01,4.3387146,1970,3
1970-04-01,7.4906006,1970,4
1970-05-01,13.497894,1970,5
1970-06-01,18.027008,1970,6
1970-07-01,17.057556,1970,7
1970-08-01,17.811615,1970,8
1970-09-01,16.021912,1970,9
1970-10-01,10.861603,1970,10
1970-11-01,8.412201,1970,11
1970-12-01,1.999115,1970,12
1971-01-01,3.123932,1971,1
1971-02-01,4.2030334,1971,2
1971-03-01,3.7167664,1971,3
1971-04-01,10.657776,1971,4
1971-05-01,14.610107,1971,5
1971-06-01,14.614868,1971,6
1971-07-01,19.33487,1971,7
1971-08-01,17.561249,1971,8
1971-09-01,14.724518,1971,9
1971-10-01,10.8220825,1971,10
1971-11-01,5.297394,1971,11
1971-12-01,4.233246,1971,12
1972-01-01,2.694641,1972,1
1972-02-01,5.214905,1972,2
1972-03-01,8.216278,1972,3
1972-04-01,8.951904,1972,4
1972-05-01,11.961273,1972,5
1972-06-01,13.831696,1972,6
1972-07-01,17.610321,1972,7
1972-08-01,16.337677,1972,8
1972-09-01,12.459259,1972,9
1972-10-01,9.947327,1972,10
1972-11-01,6.450409,1972,11
1972-12-01,4.2315063,1972,12
1973-01-01,2.4985657,1973,1
1973-02-01,2.9659424,1973,2
1973-03-01,5.8753967,1973,3
1973-04-01,7.657074,1973,4
1973-05-01,13.267548,1973,5
1973-06-01,17.189789,1973,6
1973-07-01,17.693573,1973,7
1973-08-01,20.08545,1973,8
1973-09-01,16.405487,1973,9
1973-10-01,9.983246,1973,10
1973-11-01,5.866852,1973,11
1973-12-01,3.6591492,1973,12
1974-01-01,6.525482,1974,1
1974-02-01,5.153351,1974,2
1974-03-01,6.899933,1974,3
1974-04-01,9.854401,1974,4
1974-05-01,12.312012,1974,5
1974-06-01,15.713776,1974,6
1974-07-01,17.01065,1974,7
1974-08-01,18.340332,1974,8
1974-09-01,13.963562,1974,9
1974-10-01,7.5946045,1974,10
1974-11-01,7.6332703,1974,11
1974-12-01,7.4567566,1974,12
1975-01-01,6.8384094,1975,1
1975-02-01,5.216522,1975,2
1975-03-01,4.8902893,1975,3
1975-04-01,8.848236,1975,4
1975-05-01,11.5208435,1975,5
1975-06-01,15.376648,1975,6
1975-07-01,18.53238,1975,7
1975-08-01,19.893494,1975,8
1975-09-01,15.430756,1975,9
1975-10-01,9.467499,1975,10
1975-11-01,6.162689,1975,11
1975-12-01,1.8821716,1975,12
1976-01-01,4.443512,1976,1
1976-02-01,4.1264954,1976,2
1976-03-01,5.1169434,1976,3
1976-04-01,8.771454,1976,4
1976-05-01,14.408417,1976,5
1976-06-01,20.04544,1976,6
1976-07-01,21.117828,1976,7
1976-08-01,19.534271,1976,8
1976-09-01,14.588287,1976,9
1976-10-01,12.126984,1976,10
1976-11-01,6.4410095,1976,11
1976-12-01,2.1070557,1976,12
1977-01-01,3.5934143,1977,1
1977-02-01,6.4134216,1977,2
1977-03-01,8.033478,1977,3
1977-04-01,8.015198,1977,4
1977-05-01,12.3974,1977,5
1977-06-01,14.774475,1977,6
1977-07-01,17.477081,1977,7
1977-08-01,16.297272,1977,8
1977-09-01,13.678741,1977,9
1977-10-01,12.428314,1977,10
1977-11-01,6.9320984,1977,11
1977-12-01,5.257202,1977,12
1978-01-01,2.8572693,1978,1
1978-02-01,2.879486,1978,2
1978-03-01,7.3600464,1978,3
1978-04-01,7.7165527,1978,4
1978-05-01,12.60318,1978,5
1978-06-01,14.725983,1978,6
1978-07-01,16.515991,1978,7
1978-08-01,15.849091,1978,8
1978-09-01,14.450623,1978,9
1978-10-01,11.3785095,1978,10
1978-11-01,5.5841675,1978,11
1978-12-01,4.964447,1978,12
1979-01-01,-1.3605347,1979,1
1979-02-01,2.6789246,1979,2
1979-03-01,6.0137024,1979,3
1979-04-01,8.216949,1979,4
1979-05-01,12.165863,1979,5
1979-06-01,15.950348,1979,6
1979-07-01,17.736176,1979,7
1979-08-01,16.533722,1979,8
1979-09-01,14.911438,1979,9
1979-10-01,11.8628235,1979,10
1979-11-01,6.3840027,1979,11
1979-12-01,6.0852356,1979,12
1980-01-01,1.2809448,1980,1
1980-02-01,5.996063,1980,2
1980-03-01,5.7681885,1980,3
1980-04-01,8.60611,1980,4
1980-05-01,12.218536,1980,5
1980-06-01,14.963593,1980,6
1980-07-01,16.018524,1980,7
1980-08-01,18.244293,1980,8
1980-09-01,16.134003,1980,9
1980-10-01,10.010651,1980,10
1980-11-01,4.969574,1980,11
1980-12-01,2.9721375,1980,12
1981-01-01,3.7269897,1981,1
1981-02-01,2.292694,1981,2
1981-03-01,9.53595,1981,3
1981-04-01,9.685944,1981,4
1981-05-01,12.676056,1981,5
1981-06-01,15.068024,1981,6
1981-07-01,17.220093,1981,7
1981-08-01,18.012482,1981,8
1981-09-01,15.71463,1981,9
1981-10-01,10.476715,1981,10
1981-11-01,7.1840515,1981,11
1981-12-01,3.54953,1981,12
1982-01-01,3.6278381,1982,1
1982-02-01,4.7084045,1982,2
1982-03-01,6.099518,1982,3
1982-04-01,8.949371,1982,4
1982-05-01,13.47757,1982,5
1982-06-01,17.724762,1982,6
1982-07-01,19.914368,1982,7
1982-08-01,17.533386,1982,8
1982-09-01,17.25003,1982,9
1982-10-01,10.672852,1982,10
1982-11-01,8.055084,1982,11
1982-12-01,4.524872,1982,12
1983-01-01,5.936249,1983,1
1983-02-01,1.98172,1983,2
1983-03-01,6.686798,1983,3
1983-04-01,8.654388,1983,4
1983-05-01,11.307648,1983,5
1983-06-01,17.27832,1983,6
1983-07-01,22.019928,1983,7
1983-08-01,19.066956,1983,8
1983-09-01,15.307007,1983,9
1983-10-01,11.007172,1983,10
1983-11-01,6.4938965,1983,11
1983-12-01,4.0170593,1983,12
1984-01-01,4.2498474,1984,1
1984-02-01,3.388031,1984,2
1984-03-01,4.868286,1984,3
1984-04-01,9.279572,1984,4
1984-05-01,10.154022,1984,5
1984-06-01,15.788757,1984,6
1984-07-01,18.015839,1984,7
1984-08-01,17.908417,1984,8
1984-09-01,14.231476,1984,9
1984-10-01,11.458893,1984,10
1984-11-01,9.553162,1984,11
1984-12-01,4.059326,1984,12
1985-01-01,-1.4691467,1985,1
1985-02-01,2.0513,1985,2
1985-03-01,4.77829,1985,3
1985-04-01,9.681122,1985,4
1985-05-01,13.030823,1985,5
1985-06-01,14.905121,1985,6
1985-07-01,18.706116,1985,7
1985-08-01,16.403748,1985,8
1985-09-01,16.260345,1985,9
1985-10-01,10.645294,1985,10
1985-11-01,3.810089,1985,11
1985-12-01,5.4604797,1985,12
1986-01-01,3.9302368,1986,1
1986-02-01,-2.4172668,1986,2
1986-03-01,5.144104,1986,3
1986-04-01,6.5643616,1986,4
1986-05-01,13.453735,1986,5
1986-06-01,17.603546,1986,6
1986-07-01,18.063507,1986,7
1986-08-01,16.901459,1986,8
1986-09-01,12.59787,1986,9
1986-10-01,12.847748,1986,10
1986-11-01,7.7530212,1986,11
1986-12-01,5.435089,1986,12
1987-01-01,-2.698639,1987,1
1987-02-01,2.928711,1987,2
1987-03-01,4.190613,1987,3
1987-04-01,11.565063,1987,4
1987-05-01,11.141998,1987,5
1987-06-01,14.747742,1987,6
1987-07-01,17.759613,1987,7
1987-08-01,17.790497,1987,8
1987-09-01,16.859589,1987,9
1987-10-01,11.717438,1987,10
1987-11-01,6.4216614,1987,11
1987-12-01,4.3420715,1987,12
1988-01-01,6.76239,1988,1
1988-02-01,4.6645813,1988,2
1988-03-01,6.733368,1988,3
1988-04-01,10.230255,1988,4
1988-05-01,14.070679,1988,5
1988-06-01,16.031403,1988,6
1988-07-01,16.782349,1988,7
1988-08-01,18.148895,1988,8
1988-09-01,14.619446,1988,9
1988-10-01,11.891541,1988,10
1988-11-01,5.3302917,1988,11
1988-12-01,6.9131165,1988,12
1989-01-01,3.7514954,1989,1
1989-02-01,5.3652954,1989,2
1989-03-01,9.5780945,1989,3
1989-04-01,7.959381,1989,4
1989-05-01,15.983337,1989,5
1989-06-01,16.802216,1989,6
1989-07-01,19.776764,1989,7
1989-08-01,18.719574,1989,8
1989-09-01,15.982452,1989,9
1989-10-01,13.24942,1989,10
1989-11-01,5.6670837,1989,11
1989-12-01,4.4248047,1989,12
1990-01-01,5.146942,1990,1
1990-02-01,8.734283,1990,2
1990-03-01,8.571869,1990,3
1990-04-01,8.955719,1990,4
1990-05-01,15.689087,1990,5
1990-06-01,15.284332,1990,6
1990-07-01,19.24469,1990,7
1990-08-01,20.470764,1990,8
1990-09-01,14.571991,1990,9
1990-10-01,13.040985,1990,10
1990-11-01,6.9098816,1990,11
1990-12-01,3.3509216,1990,12
1991-01-01,3.8708801,1991,1
1991-02-01,0.8722229,1991,2
1991-03-01,9.302521,1991,3
1991-04-01,9.018341,1991,4
1991-05-01,11.365753,1991,5
1991-06-01,13.9843445,1991,6
1991-07-01,18.792328,1991,7
1991-08-01,19.547882,1991,8
1991-09-01,16.8237,1991,9
1991-10-01,10.437958,1991,10
1991-11-01,6.146637,1991,11
1991-12-01,3.013092,1991,12
1992-01-01,2.4530334,1992,1
1992-02-01,4.464081,1992,2
1992-03-01,7.8364563,1992,3
1992-04-01,9.232697,1992,4
1992-05-01,15.205902,1992,5
1992-06-01,16.376831,1992,6
1992-07-01,19.168427,1992,7
1992-08-01,19.551727,1992,8
1992-09-01,14.73291,1992,9
1992-10-01,8.62442,1992,10
1992-11-01,8.604095,1992,11
1992-12-01,4.049225,1992,12
1993-01-01,6.4344788,1993,1
1993-02-01,2.1983337,1993,2
1993-03-01,6.819916,1993,3
1993-04-01,11.3396,1993,4
1993-05-01,14.315277,1993,5
1993-06-01,17.13504,1993,6
1993-07-01,17.317596,1993,7
1993-08-01,17.208801,1993,8
1993-09-01,13.926239,1993,9
1993-10-01,9.4166565,1993,10
1993-11-01,3.0544128,1993,11
1993-12-01,6.5308228,1993,12
1994-01-01,5.7190247,1994,1
1994-02-01,4.577301,1994,2
1994-03-01,9.2100525,1994,3
1994-04-01,9.056427,1994,4
1994-05-01,13.712921,1994,5
1994-06-01,16.98584,1994,6
1994-07-01,21.60205,1994,7
1994-08-01,18.868988,1994,8
1994-09-01,14.133575,1994,9
1994-10-01,10.9774475,1994,10
1994-11-01,10.721893,1994,11
1994-12-01,6.383423,1994,12
1995-01-01,4.9465637,1995,1
1995-02-01,7.9162903,1995,2
1995-03-01,6.3549805,1995,3
1995-04-01,9.307526,1995,4
1995-05-01,13.561127,1995,5
1995-06-01,15.853363,1995,6
1995-07-01,21.101227,1995,7
1995-08-01,20.453766,1995,8
1995-09-01,14.014801,1995,9
1995-10-01,14.071747,1995,10
1995-11-01,6.8881226,1995,11
1995-12-01,2.8205261,1995,12
1996-01-01,3.3606262,1996,1
1996-02-01,2.2345886,1996,2
1996-03-01,5.688629,1996,3
1996-04-01,10.1622925,1996,4
1996-05-01,11.688629,1996,5
1996-06-01,17.660095,1996,6
1996-07-01,18.4487,1996,7
1996-08-01,18.115082,1996,8
1996-09-01,13.562958,1996,9
1996-10-01,11.402863,1996,10
1996-11-01,6.414215,1996,11
1996-12-01,1.7488098,1996,12
1997-01-01,-0.034454346,1997,1
1997-02-01,6.712616,1997,2
1997-03-01,9.118439,1997,3
1997-04-01,9.417664,1997,4
1997-05-01,13.858185,1997,5
1997-06-01,16.347687,1997,6
1997-07-01,18.300873,1997,7
1997-08-01,22.201172,1997,8
1997-09-01,15.952576,1997,9
1997-10-01,11.000336,1997,10
1997-11-01,8.219757,1997,11
1997-12-01,5.6322327,1997,12
1998-01-01,4.515747,1998,1
1998-02-01,4.936981,1998,2
1998-03-01,8.217316,1998,3
1998-04-01,9.23642,1998,4
1998-05-01,15.450348,1998,5
1998-06-01,17.2659,1998,6
1998-07-01,17.570526,1998,7
1998-08-01,19.018158,1998,8
1998-09-01,15.637787,1998,9
1998-10-01,11.238251,1998,10
1998-11-01,4.3909607,1998,11
1998-12-01,5.104126,1998,12
1999-01-01,5.8862915,1999,1
1999-02-01,4.403351,1999,2
1999-03-01,8.178558,1999,3
1999-04-01,10.524902,1999,4
1999-05-01,15.582794,1999,5
1999-06-01,16.239166,1999,6
1999-07-01,20.307465,1999,7
1999-08-01,19.079132,1999,8
1999-09-01,17.598328,1999,9
1999-10-01,11.269928,1999,10
1999-11-01,5.9097595,1999,11
1999-12-01,5.361389,1999,12
2000-01-01,3.814972,2000,1
2000-02-01,6.647644,2000,2
2000-03-01,7.391449,2000,3
2000-04-01,9.81839,2000,4
2000-05-01,14.998322,2000,5
2000-06-01,17.38504,2000,6
2000-07-01,16.802582,2000,7
2000-08-01,19.21582,2000,8
2000-09-01,16.445099,2000,9
2000-10-01,11.758514,2000,10
2000-11-01,7.966339,2000,11
2000-12-01,7.037018,2000,12
2001-01-01,4.806488,2001,1
2001-02-01,5.317627,2001,2
2001-03-01,8.500671,2001,3
2001-04-01,8.853638,2001,4
2001-05-01,15.219025,2001,5
2001-06-01,16.756256,2001,6
2001-07-01,19.197357,2001,7
2001-08-01,19.650238,2001,8
2001-09-01,13.55191,2001,9
2001-10-01,14.552216,2001,10
2001-11-01,6.0502625,2001,11
2001-12-01,2.7911682,2001,12
2002-01-01,5.0658264,2002,1
2002-02-01,7.765045,2002,2
2002-03-01,8.473846,2002,3
2002-04-01,10.459991,2002,4
2002-05-01,13.353302,2002,5
2002-06-01,17.544342,2002,6
2002-07-01,18.154602,2002,7
2002-08-01,18.277985,2002,8
2002-09-01,14.684631,2002,9
2002-10-01,11.638641,2002,10
2002-11-01,8.809082,2002,11
2002-12-01,6.6722107,2002,12
2003-01-01,2.6152954,2003,1
2003-02-01,3.2893066,2003,2
2003-03-01,9.459412,2003,3
2003-04-01,11.00766,2003,4
2003-05-01,14.170502,2003,5
2003-06-01,20.200714,2003,6
2003-07-01,20.359741,2003,7
2003-08-01,22.833649,2003,8
2003-09-01,16.104706,2003,9
2003-10-01,9.237976,2003,10
2003-11-01,8.216644,2003,11
2003-12-01,4.6473083,2003,12
2004-01-01,4.627533,2004,1
2004-02-01,4.9593506,2004,2
2004-03-01,6.619446,2004,3
2004-04-01,10.458832,2004,4
2004-05-01,13.16391,2004,5
2004-06-01,17.770782,2004,6
2004-07-01,18.564362,2004,7
2004-08-01,19.495575,2004,8
2004-09-01,16.893463,2004,9
2004-10-01,12.36554,2004,10
2004-11-01,7.4479065,2004,11
2004-12-01,3.1156921,2004,12
2005-01-01,5.084564,2005,1
2005-02-01,2.8003845,2005,2
2005-03-01,7.162445,2005,3
2005-04-01,10.857758,2005,4
2005-05-01,14.067444,2005,5
2005-06-01,18.808533,2005,6
2005-07-01,19.529358,2005,7
2005-08-01,18.013458,2005,8
2005-09-01,16.946625,2005,9
2005-10-01,14.944763,2005,10
2005-11-01,5.893585,2005,11
2005-12-01,3.2962036,2005,12
2006-01-01,2.5123901,2006,1
2006-02-01,2.9577942,2006,2
2006-03-01,5.7376404,2006,3
2006-04-01,10.099579,2006,4
2006-05-01,14.4183655,2006,5
2006-06-01,18.544952,2006,6
2006-07-01,23.333374,2006,7
2006-08-01,16.968018,2006,8
2006-09-01,18.54596,2006,9
2006-10-01,14.396149,2006,10
2006-11-01,8.688965,2006,11
2006-12-01,5.04126,2006,12
2007-01-01,7.3542175,2007,1
2007-02-01,7.6629944,2007,2
2007-03-01,7.3717957,2007,3
2007-04-01,14.363495,2007,4
2007-05-01,14.982361,2007,5
2007-06-01,17.598541,2007,6
2007-07-01,17.88205,2007,7
2007-08-01,17.354645,2007,8
2007-09-01,14.51889,2007,9
2007-10-01,10.862213,2007,10
2007-11-01,6.499634,2007,11
2007-12-01,3.829132,2007,12
2008-01-01,6.124542,2008,1
2008-02-01,5.9605713,2008,2
2008-03-01,7.0111694,2008,3
2008-04-01,9.434509,2008,4
2008-05-01,16.133575,2008,5
2008-06-01,17.3367,2008,6
2008-07-01,19.162018,2008,7
2008-08-01,18.67212,2008,8
2008-09-01,14.157623,2008,9
2008-10-01,10.754242,2008,10
2008-11-01,7.4775085,2008,11
2008-12-01,2.9612122,2008,12
2009-01-01,0.97006226,2009,1
2009-02-01,3.7867126,2009,2
2009-03-01,7.0865173,2009,3
2009-04-01,12.022064,2009,4
2009-05-01,14.645325,2009,5
2009-06-01,17.140686,2009,6
2009-07-01,19.520172,2009,7
2009-08-01,20.603424,2009,8
2009-09-01,16.126068,2009,9
2009-10-01,11.618561,2009,10
2009-11-01,9.932709,2009,11
2009-12-01,3.8130188,2009,12
2010-01-01,0.5218811,2010,1
2010-02-01,3.660553,2010,2
2010-03-01,7.0524597,2010,3
2010-04-01,10.892303,2010,4
2010-05-01,12.682404,2010,5
2010-06-01,17.978668,2010,6
2010-07-01,20.958282,2010,7
2010-08-01,18.173004,2010,8
2010-09-01,14.988007,2010,9
2010-10-01,10.994415,2010,10
2010-11-01,6.633301,2010,11
2010-12-01,0.31967163,2010,12
2011-01-01,4.374542,2011,1
2011-02-01,6.0466614,2011,2
2011-03-01,8.550354,2011,3
2011-04-01,13.774078,2011,4
2011-05-01,15.756805,2011,5
2011-06-01,17.57666,2011,6
2011-07-01,17.115448,2011,7
2011-08-01,18.655396,2011,8
2011-09-01,17.344757,2011,9
2011-10-01,12.745026,2011,10
2011-11-01,8.957886,2011,11
2011-12-01,7.0343323,2011,12
2012-01-01,5.98114,2012,1
2012-02-01,1.407898,2012,2
2012-03-01,9.531158,2012,3
2012-04-01,8.866272,2012,4
2012-05-01,14.960419,2012,5
2012-06-01,16.535187,2012,6
2012-07-01,18.121857,2012,7
2012-08-01,20.268768,2012,8
2012-09-01,15.151154,2012,9
2012-10-01,12.078735,2012,10
2012-11-01,7.1022034,2012,11
2012-12-01,5.996002,2012,12
2013-01-01,3.4178772,2013,1
2013-02-01,2.3941345,2013,2
2013-03-01,4.6402893,2013,3
2013-04-01,9.871735,2013,4
2013-05-01,11.660919,2013,5
2013-06-01,16.352448,2013,6
2013-07-01,21.560669,2013,7
2013-08-01,19.163635,2013,8
2013-09-01,16.138428,2013,9
2013-10-01,13.517853,2013,10
2013-11-01,6.950775,2013,11
2013-12-01,5.363373,2013,12
2014-01-01,6.5861816,2014,1
2014-02-01,6.9793396,2014,2
